"Price Rounding","Preisrundung"
"Enable Price Rounding","Aktiviere Preisrundung"
"Rounding Method","Rundungsmethode"
"Rounding Mechanism","Rundungsmechanismus"
"round","round - Mathmatisches Runden"
"ceil","ceil - Aufrunden"
"floor","floor - Abrunden"
"Enables price rounding to force integer prices.","Aktiviert die Preisrundung, um ganzzahlige Preise zu erzwingen."
"See the math functions in the PHP manual for more informations.","Lesen Sie die PHP-Dokumentation für weitere Informationen."
"Choose the rounding mechanism in the Magento system. 'In Currency Conversion' means, that all prices in the whole store will be rounded. The shipping or payment costs also. 'After Catalog Loading' integrates the rounding only on catagory and product detail page. This is a tiny trick. The result can be different.","Wähle die Rundungsart. 'Bei Währungsumrechnung' bedeutet, dass alle Preise des gesamten Stores gerundet werden. Versandkosten und Gebühren für Bezahlmethoden werden ebenfalls gerundet. 'Nach Lades des Katalogs' integriert das Runden nur für Kategorie- und Produkt-Detail-Seiten. Dies ist ein kleiner Trick. Das Resultat kann abweichen."
"Enable Price Rounding on Catagory Page","Aktiviere Preisrundung auf Kategorieseite"
"In Currency Conversion","Bei Währungsumrechnung"
"After Catalog Loading","Nach Laden des Katalogs"
